"Genres..categorical.","Genres","App","sentiment_polarity_score","ease_of_reading_score","sentiment_subjectivity_score","spelling_quality_score","Installs"
"Action",0,22,0.0354860089161576,0.852060498175607,0.491166482106981,0.894555054581522,727200000
"Action;Action & Adventure",1,2,0.160040814078804,0.859946161333484,0.521188492539596,0.884558868527439,1.5e+07
"Adventure",2,2,-0.0462197302455816,0.856205755436754,0.442838734705616,0.900715176039444,1.1e+07
"Arcade",6,13,0.0330999548404173,0.857919743648688,0.503296400802871,0.906303327754846,5.65e+08
"Art & Design",9,8,0.273299505619519,0.859710587430262,0.53422557531166,0.87898931789307,21400000
"Art & Design;Creativity",11,1,0.171835952682508,0.847173809480808,0.572762017752343,0.931278966365169,5e+05
"Art & Design;Pretend Play",12,1,0.152651515151515,0.877835299604734,0.641540404040404,0.86969696969697,5e+05
"Auto & Vehicles",13,8,0.270666865406248,0.850619522051174,0.522983948078109,0.903461379271939,12500000
"Beauty",14,6,0.221777068764716,0.868565526986272,0.490752876199609,0.867997353711024,12200000
"Board",15,5,0.224701386043683,0.85400285010175,0.542058404135458,0.918346110853083,21500000
"Board;Brain Games",17,3,0.1960167385341,0.872223737572545,0.457830903664237,0.865875479104429,2050000
"Books & Reference",19,16,0.263242636209945,0.851116342676461,0.464572309093787,0.890961370460889,260600000
"Business",22,20,0.223649164949742,0.847067545060198,0.46267039717433,0.884722251850415,165800000
"Casual",26,16,0.0670878825971617,0.856384511115453,0.490654708778117,0.916099257340577,1.067e+09
"Casual;Action & Adventure",27,1,0.0535888178661616,0.855318598358489,0.508260281385281,0.909081793688359,1e+06
"Casual;Brain Games",28,6,0.164376888721684,0.862425797093945,0.517470070519961,0.901356641252455,1.4e+07
"Casual;Creativity",29,3,0.026871555572783,0.863509958218677,0.538402081493508,0.907387275800569,2.5e+07
"Casual;Pretend Play",32,3,0.133432581232357,0.861556252069256,0.481335703215455,0.880102053550143,55050000
"Comics",33,2,0.396459518655947,0.862088527180251,0.50629582124225,0.816202465001078,1010000
"Communication",35,32,0.189157636887322,0.8500112955236,0.489953561740497,0.871831456756095,3.2e+09
"Dating",37,33,0.177510686754216,0.858520844007144,0.500673557966621,0.877309685829727,45820000
"Education",38,22,0.321262621510618,0.84645409448861,0.501498616850066,0.904231182577787,38120000
"Education;Education",42,3,0.201238825507055,0.836329587605303,0.472345430611056,0.902632243222889,1.1e+08
"Education;Pretend Play",44,1,0.0928071500439664,0.846422162413679,0.486286719233148,0.912076509251912,1e+06
"Educational;Brain Games",47,1,0.108333333333333,0.851513907093527,0.491666666666667,1,5e+06
"Educational;Creativity",48,1,0.413822268740032,0.877111067752244,0.609425837320574,0.855297557619539,5e+06
"Educational;Education",49,8,0.24807687994942,0.865345098612054,0.490280987786459,0.878944200418954,24100000
"Educational;Pretend Play",50,3,0.0978244182353076,0.869690513612179,0.520810993187024,0.872517919182742,2.1e+07
"Entertainment",51,28,0.141313150136633,0.852011422032493,0.491999288627409,0.900115695770621,285450000
"Entertainment;Music & Video",56,1,0.203991959397997,0.852243789193548,0.535116218605448,0.867218675702643,5e+06
"Events",58,5,0.384549469533881,0.860015226827061,0.581851599936894,0.907677660613341,1310000
"Finance",59,39,0.166158720590429,0.843731557253407,0.476243053042121,0.914683575763468,185010000
"Food & Drink",60,18,0.264543600660998,0.845881438848408,0.521436204564814,0.905754726769209,51050000
"Health & Fitness",61,40,0.312451312537342,0.84664416815574,0.521316664233441,0.899769055781981,185200000
"House & Home",64,15,0.236452120045285,0.85171196484092,0.473638817462872,0.898107544792261,14260000
"Libraries & Demo",65,9,0.236954797555244,0.846659257359866,0.525612227451899,0.872809440847949,17750000
"Lifestyle",66,23,0.230741623757054,0.855060868875466,0.476968134297179,0.893711370011345,68460000
"Maps & Navigation",69,7,0.321888828314077,0.857279047739388,0.488261347020632,0.895615586626939,1.1e+07
"Medical",70,33,0.221428827680556,0.842042508690051,0.479528386210569,0.904070585817215,17411000
"News & Magazines",74,24,0.1566026288924,0.843894437493047,0.458257095195996,0.884673642742397,1612200000
"Parenting",75,4,0.352557849707775,0.854135768969565,0.541260008754056,0.903330821793872,2600000
"Parenting;Education",77,1,0.247537001287001,0.85278455325653,0.357194337194337,0.772657899831813,1e+06
"Parenting;Music & Video",78,3,0.283308235472451,0.860050549134329,0.501361119887264,0.842877466204581,1600000
"Personalization",79,34,0.274996605994032,0.85036856073294,0.521702609553808,0.85579533569687,535710000
"Photography",80,31,0.236330740484284,0.852821600706443,0.492850687838003,0.873606852603737,1.607e+09
"Productivity",81,37,0.195324965553935,0.843078672463613,0.480159015261663,0.888829889097819,1384600000
"Puzzle",82,12,0.0647496389199459,0.852744843516631,0.526519253536609,0.910465599712227,400500000
"Puzzle;Action & Adventure",83,1,0.0601056998556999,0.855659314180491,0.506126803751804,0.917643921409401,5e+07
"Racing",87,4,0.0459948042586944,0.852239616515988,0.485331065759194,0.918621802110794,4e+08
"Racing;Action & Adventure",88,4,0.118840544172788,0.862898107666563,0.486883988081573,0.840229453021522,30500000
"Role Playing",90,6,0.0632751615251775,0.847563020597807,0.509779990656879,0.907938922080596,22500000
"Role Playing;Action & Adventure",91,1,0.0438083774216587,0.857488660501661,0.550960435543769,0.898564148252184,1e+07
"Role Playing;Pretend Play",94,1,-0.00178808284868891,0.867365111088496,0.476372308948067,0.807793227111409,1e+05
"Shopping",95,20,0.197925663843094,0.852606896030496,0.47673158648948,0.902706479335824,427500000
"Simulation",96,5,0.12807493118739,0.853441861479105,0.527164420858506,0.917639514790458,8e+07
"Simulation;Action & Adventure",97,3,0.0940853771859443,0.855321637887557,0.492810359717078,0.905482809989772,3e+07
"Simulation;Education",98,1,0.0644671324046324,0.844937302720981,0.493329871517372,0.914288961240268,1e+05
"Simulation;Pretend Play",99,1,0.168933225752422,0.846432770438329,0.579256768363911,0.886814557662449,1e+05
"Social",100,18,0.149641861313651,0.84885285855804,0.479551644641895,0.876404516529562,2656600000
"Sports",101,33,0.223176146511963,0.848731150637079,0.499403143968028,0.894827800778358,343960000
"Sports;Action & Adventure",102,1,0.102464285714286,0.869641199639006,0.460027210884354,0.841284041328384,1e+05
"Strategy",103,7,0.0276215691464517,0.851597124779396,0.475337075508801,0.913484445618373,2.27e+08
"Tools",107,47,0.217448711512231,0.853429747290311,0.466270713622983,0.878212064940146,3076200000
"Travel & Local",109,41,0.207803014536065,0.846828185759223,0.477854422357448,0.908786015539436,1423700000
"Travel & Local;Action & Adventure",110,1,0.15096450617284,0.854795429870108,0.500694444444444,0.913541066074799,1e+05
"Video Players & Editors",113,9,0.145782155678552,0.852706872574906,0.478670737568179,0.861373604456928,8.4e+07
"Weather",116,6,0.298206129262285,0.847602839237806,0.486867324410533,0.881121780815341,1.17e+08
